nr fid_n2000 X Y
  266 191 -11768 701137
  267 191 -11768 700637
  268 191 -11768 700137
  269 191 -11768 699637
  270 191 -11768 699137
  271 191 -11768 698637
  272 191 -11768 698137
  273 191 -11768 697637
  274 191 -11768 697137
  275 191 -11768 696637
  276 191 -11768 696137
  277 191 -11768 695637
  278 191 -11768 695137
  279 191 -11768 694637
  280 191 -11768 694137
  281 191 -11768 693637
  282 191 -11768 693137
  283 191 -11768 692637
  284 191 -11768 692137
  285 191 -11768 691637
  286 191 -11768 691137
  287 191 -11768 690637
  288 191 -11768 690137
  289 191 -11768 689637
  290 191 -11768 689137
  291 191 -11768 688637
  292 191 -11768 688137
  293 191 -11768 687637
  294 191 -11768 687137
  295 191 -11768 686637
  296 191 -11768 686137
  297 191 -11768 685637
  298 191 -11768 685137
  299 191 -11768 684637
  300 191 -11768 684137
  301 191 -11768 683637
  302 191 -11768 683137
  303 191 -11768 682637
  304 191 -11768 682137
  305 191 -11768 681637
  306 191 -11768 681137
  307 191 -11767 680637
  308 191 -11755 680138
  309 191 -11734 679642
  310 191 -11707 679144
  311 191 -11679 678646
  312 191 -11650 678148
  313 191 -11621 677652
  314 191 -11591 677161
  315 191 -11556 676662
  316 191 -11518 676150
  317 191 -11480 675637
  318 190 -11172 725323
  319 190 -11261 724860
  320 190 -11329 724386
  321 190 -11335 723887
  322 190 -11335 723387
  323 190 -11335 722887
  324 190 -11335 722387
  325 190 -11335 721887
  326 190 -11335 721387
  327 190 -11335 720887
  328 190 -11335 720387
  329 190 -11335 719887
  330 190 -11335 719387
  331 190 -11335 718887
  332 190 -11361 718409
  333 190 -11496 718029
  334 191 -11340 703749
  335 191 -11335 703387
  336 191 -11335 702887
  337 191 -11335 702387
  338 191 -11335 701887
  339 191 -11335 701387
  340 191 -11335 700887
  341 191 -11335 700387
  342 191 -11335 699887
  343 191 -11335 699387
  344 191 -11335 698887
  345 191 -11335 698387
  346 191 -11335 697887
  347 191 -11335 697387
  348 191 -11335 696887
  349 191 -11335 696387
  350 191 -11335 695887
  351 191 -11335 695387
  352 191 -11335 694887
  353 191 -11335 694387
  354 191 -11335 693887
  355 191 -11335 693387
  356 191 -11335 692887
  357 191 -11335 692387
  358 191 -11335 691887
  359 191 -11335 691387
  360 191 -11335 690887
  361 191 -11335 690387
  362 191 -11335 689887
  363 191 -11335 689387
  364 191 -11335 688887
  365 191 -11335 688387
  366 191 -11335 687887
  367 191 -11335 687387
  368 191 -11335 686887
  369 191 -11335 686387
  370 191 -11335 685887
  371 191 -11335 685387
  372 191 -11335 684887
  373 191 -11335 684387
  374 191 -11335 683887
  375 191 -11335 683387
  376 191 -11335 682887
  377 191 -11335 682387
  378 191 -11335 681887
  379 191 -11335 681387
  380 191 -11335 680887
  381 191 -11335 680387
  382 191 -11335 679887
  383 191 -11335 679387
  384 191 -11335 678887
  385 191 -11335 678387
  386 191 -11335 677887
  387 191 -11335 677387
  388 191 -11335 676887
  389 191 -11327 676387
  390 191 -11309 675890
  391 191 -11283 675394
  392 191 -11255 674895
  393 191 -11227 674397
  394 191 -11198 673901
  395 191 -11168 673407
  396 191 -11136 672915
  397 191 -11098 672404
  398 191 -11059 671891
  399 190 -10727 726567
  400 190 -10816 726107
  401 190 -10889 725632
  402 190 -10902 725137
  403 190 -10902 724637
  404 190 -10902 724137
  405 190 -10902 723637
  406 190 -10902 723137
  407 190 -10902 722637
  408 190 -10902 722137
  409 190 -10902 721637
  410 190 -10902 721137
  411 190 -10902 720637
  412 190 -10902 720137
  413 190 -10902 719637
  414 190 -10902 719137
  415 190 -10978 718712
  416 191 -10903 703615
  417 191 -10902 703137
  418 191 -10902 702637
  419 191 -10902 702137
  420 191 -10902 701637
  421 191 -10902 701137
  422 191 -10902 700637
  423 191 -10902 700137
  424 191 -10902 699637
  425 191 -10902 699137
  426 191 -10902 698637
  427 191 -10902 698137
  428 191 -10902 697637
  429 191 -10902 697137
  430 191 -10902 696637
  431 191 -10902 696137
  432 191 -10902 695637
  433 191 -10902 695137
  434 191 -10902 694637
  435 191 -10902 694137
  436 191 -10902 693637
  437 191 -10902 693137
  438 191 -10902 692637
  439 191 -10902 692137
  440 191 -10902 691637
  441 191 -10902 691137
  442 191 -10902 690637
  443 191 -10902 690137
  444 191 -10902 689637
  445 191 -10902 689137
  446 191 -10902 688637
  447 191 -10902 688137
  448 191 -10902 687637
  449 191 -10902 687137
  450 191 -10902 686637
  451 191 -10902 686137
  452 191 -10902 685637
  453 191 -10902 685137
  454 191 -10902 684637
  455 191 -10902 684137
  456 191 -10902 683637
  457 191 -10902 683137
  458 191 -10902 682637
  459 191 -10902 682137
  460 191 -10902 681637
  461 191 -10902 681137
  462 191 -10902 680637
  463 191 -10902 680137
  464 191 -10902 679637
  465 191 -10902 679137
  466 191 -10902 678637
  467 191 -10902 678137
  468 191 -10902 677637
  469 191 -10902 677137
  470 191 -10902 676637
  471 191 -10902 676137
  472 191 -10902 675637
  473 191 -10902 675137
  474 191 -10902 674637
  475 191 -10902 674137
  476 191 -10902 673637
  477 191 -10902 673137
  478 191 -10898 672637
  479 191 -10883 672139
  480 191 -10859 671643
  481 191 -10831 671145
  482 191 -10803 670646
  483 191 -10775 670149
  484 191 -10743 669660
  485 191 -10703 669172
  486 191 -10655 668654
  487 190 -10282 727812
  488 190 -10371 727354
  489 190 -10448 726879
  490 190 -10469 726387
  491 190 -10469 725887
  492 190 -10469 725387
  493 190 -10469 724887
  494 190 -10469 724387
  495 190 -10469 723887
  496 190 -10469 723387
  497 190 -10469 722887
  498 190 -10469 722387
  499 190 -10469 721887
  500 190 -10469 721387
  501 190 -10469 720887
  502 190 -10469 720387
  503 190 -10469 719887
  504 190 -10482 719399
  505 190 -10614 719011
  506 191 -10474 703731
  507 191 -10469 703387
  508 191 -10469 702887
  509 191 -10469 702387
  510 191 -10469 701887
  511 191 -10469 701387
  512 191 -10469 700887
  513 191 -10469 700387
  514 191 -10469 699887
  515 191 -10469 699387
  516 191 -10469 698887
  517 191 -10469 698387
  518 191 -10469 697887
  519 191 -10469 697387
  520 191 -10469 696887
  521 191 -10469 696387
  522 191 -10469 695887
  523 191 -10469 695387
  524 191 -10469 694887
  525 191 -10469 694387
  526 191 -10469 693887
  527 191 -10469 693387
  528 191 -10469 692887
  529 191 -10469 692387
  530 191 -10469 691887
  531 191 -10469 691387
  532 191 -10469 690887
  533 191 -10469 690387
  534 191 -10469 689887
  535 191 -10469 689387
  536 191 -10469 688887
  537 191 -10469 688387
  538 191 -10469 687887
  539 191 -10469 687387
  540 191 -10469 686887
  541 191 -10469 686387
  542 191 -10469 685887
  543 191 -10469 685387
  544 191 -10469 684887
  545 191 -10469 684387
  546 191 -10469 683887
  547 191 -10469 683387
  548 191 -10469 682887
  549 191 -10469 682387
  550 191 -10469 681887
  551 191 -10469 681387
  552 191 -10469 680887
  553 191 -10469 680387
  554 191 -10469 679887
  555 191 -10469 679387
  556 191 -10469 678887
  557 191 -10469 678387
  558 191 -10469 677887
  559 191 -10469 677387
  560 191 -10469 676887
  561 191 -10469 676387
  562 191 -10469 675887
  563 191 -10469 675387
  564 191 -10469 674887
  565 191 -10469 674387
  566 191 -10469 673887
  567 191 -10469 673387
  568 191 -10469 672887
  569 191 -10469 672387
  570 191 -10469 671887
  571 191 -10469 671387
  572 191 -10469 670887
  573 191 -10469 670387
  574 191 -10469 669887
  575 191 -10469 669387
  576 191 -10463 668887
  577 191 -10441 668392
  578 191 -10408 667896
  579 191 -10373 667399
  580 191 -10337 666903
  581 191 -10300 666414
  582 191 -10259 665919
  583 191 -10210 665399
  584 190 -9837 729059
  585 190 -9926 728600
  586 190 -10007 728125
  587 190 -10036 727637
  588 190 -10036 727137
  589 190 -10036 726637
  590 190 -10036 726137
  591 190 -10036 725637
  592 190 -10036 725137
  593 190 -10036 724637
  594 190 -10036 724137
  595 190 -10036 723637
  596 190 -10036 723137
  597 190 -10036 722637
  598 190 -10036 722137
  599 190 -10036 721637
  600 190 -10036 721137
  601 190 -10036 720637
  602 190 -10036 720137
  603 190 -10098 719695
  604 191 -10037 703603
  605 191 -10036 703137
  606 191 -10036 702637
  607 191 -10036 702137
  608 191 -10036 701637
  609 191 -10036 701137
  610 191 -10036 700637
  611 191 -10036 700137
  612 191 -10036 699637
  613 191 -10036 699137
  614 191 -10036 698637
  615 191 -10036 698137
  616 191 -10036 697637
  617 191 -10036 697137
  618 191 -10036 696637
  619 191 -10036 696137
  620 191 -10036 695637
  621 191 -10036 695137
  622 191 -10036 694637
  623 191 -10036 694137
  624 191 -10036 693637
  625 191 -10036 693137
  626 191 -10036 692637
  627 191 -10036 692137
  628 191 -10036 691637
  629 191 -10036 691137
  630 191 -10036 690637
  631 191 -10036 690137
  632 191 -10036 689637
  633 191 -10036 689137
  634 191 -10036 688637
  635 191 -10036 688137
  636 191 -10036 687637
  637 191 -10036 687137
  638 191 -10036 686637
  639 191 -10036 686137
  640 191 -10036 685637
  641 191 -10036 685137
  642 191 -10036 684637
  643 191 -10036 684137
  644 191 -10036 683637
  645 191 -10036 683137
  646 191 -10036 682637
  647 191 -10036 682137
  648 191 -10036 681637
  649 191 -10036 681137
  650 191 -10036 680637
  651 191 -10036 680137
  652 191 -10036 679637
  653 191 -10036 679137
  654 191 -10036 678637
  655 191 -10036 678137
  656 191 -10036 677637
  657 191 -10036 677137
  658 191 -10036 676637
  659 191 -10036 676137
  660 191 -10036 675637
  661 191 -10036 675137
  662 191 -10036 674637
  663 191 -10036 674137
  664 191 -10036 673637
  665 191 -10036 673137
  666 191 -10036 672637
  667 191 -10036 672137
  668 191 -10036 671637
  669 191 -10036 671137
  670 191 -10036 670637
  671 191 -10036 670137
  672 191 -10036 669637
  673 191 -10036 669137
  674 191 -10036 668637
  675 191 -10036 668137
  676 191 -10036 667637
  677 191 -10036 667137
  678 191 -10036 666637
  679 191 -10036 666137
  680 191 -10026 665638
  681 191 -10000 665143
  682 191 -9966 664646
  683 191 -9931 664149
  684 191 -9895 663655
  685 191 -9857 663168
  686 191 -9813 662664
  687 191 -9764 662144
  688 190 -9390 730310
  689 190 -9481 729845
  690 190 -9565 729371
  691 190 -9603 728887
  692 190 -9603 728387
  693 190 -9603 727887
  694 190 -9603 727387
  695 190 -9603 726887
  696 190 -9603 726387
  697 190 -9603 725887
  698 190 -9603 725387
  699 190 -9603 724887
  700 190 -9603 724387
  701 190 -9603 723887
  702 190 -9603 723387
  703 190 -9603 722887
  704 190 -9603 722387
  705 190 -9603 721887
  706 190 -9603 721387
  707 190 -9603 720887
  708 190 -9605 720390
  709 190 -9728 719997
  710 191 -9608 703714
  711 191 -9603 703387
  712 191 -9603 702887
  713 191 -9603 702387
  714 191 -9603 701887
  715 191 -9603 701387
  716 191 -9603 700887
  717 191 -9603 700387
  718 191 -9603 699887
  719 191 -9603 699387
  720 191 -9603 698887
  721 191 -9603 698387
  722 191 -9603 697887
  723 191 -9603 697387
  724 191 -9603 696887
  725 191 -9603 696387
  726 191 -9603 695887
  727 191 -9603 695387
  728 191 -9603 694887
  729 191 -9603 694387
  730 191 -9603 693887
  731 191 -9603 693387
  732 191 -9603 692887
  733 191 -9603 692387
  734 191 -9603 691887
  735 191 -9603 691387
  736 191 -9603 690887
  737 191 -9603 690387
  738 191 -9603 689887
  739 191 -9603 689387
  740 191 -9603 688887
  741 191 -9603 688387
  742 191 -9603 687887
  743 191 -9603 687387
  744 191 -9603 686887
  745 191 -9603 686387
  746 191 -9603 685887
  747 191 -9603 685387
  748 191 -9603 684887
  749 191 -9603 684387
  750 191 -9603 683887
  751 191 -9603 683387
  752 191 -9603 682887
  753 191 -9603 682387
  754 191 -9603 681887
  755 191 -9603 681387
  756 191 -9603 680887
  757 191 -9603 680387
  758 191 -9603 679887
  759 191 -9603 679387
  760 191 -9603 678887
  761 191 -9603 678387
  762 191 -9603 677887
  763 191 -9603 677387
  764 191 -9603 676887
  765 191 -9603 676387
  766 191 -9603 675887
  767 191 -9603 675387
  768 191 -9603 674887
  769 191 -9603 674387
  770 191 -9603 673887
  771 191 -9603 673387
  772 191 -9603 672887
  773 191 -9603 672387
  774 191 -9603 671887
  775 191 -9603 671387
  776 191 -9603 670887
  777 191 -9603 670387
  778 191 -9603 669887
  779 191 -9603 669387
  780 191 -9603 668887
  781 191 -9603 668387
  782 191 -9603 667887
  783 191 -9603 667387
  784 191 -9603 666887
  785 191 -9603 666387
  786 191 -9603 665887
  787 191 -9603 665387
  788 191 -9603 664887
  789 191 -9603 664387
  790 191 -9603 663887
  791 191 -9603 663387
  792 191 -9602 662887
  793 191 -9588 662388
  794 191 -9559 661895
  795 191 -9525 661397
  796 191 -9489 660900
  797 191 -9453 660407
  798 191 -9414 659921
  799 191 -9368 659409
  800 191 -9319 658889
  801 190 -8936 731577
  802 190 -9037 731089
  803 190 -9122 730618
  804 190 -9170 730137
  805 190 -9170 729637
  806 190 -9170 729137
  807 190 -9170 728637
  808 190 -9170 728137
  809 190 -9170 727637
  810 190 -9170 727137
  811 190 -9170 726637
  812 190 -9170 726137
  813 190 -9170 725637
  814 190 -9170 725137
  815 190 -9170 724637
  816 190 -9170 724137
  817 190 -9170 723637
  818 190 -9170 723137
  819 190 -9170 722637
  820 190 -9170 722137
  821 190 -9170 721637
  822 190 -9170 721137
  823 190 -9217 720679
  824 190 -9323 720349
  825 191 -9171 703590
  826 191 -9170 703137
  827 191 -9170 702637
  828 191 -9170 702137
  829 191 -9170 701637
  830 191 -9170 701137
  831 191 -9170 700637
  832 191 -9170 700137
  833 191 -9170 699637
  834 191 -9170 699137
  835 191 -9170 698637
  836 191 -9170 698137
  837 191 -9170 697637
  838 191 -9170 697137
  839 191 -9170 696637
  840 191 -9170 696137
  841 191 -9170 695637
  842 191 -9170 695137
  843 191 -9170 694637
  844 191 -9170 694137
  845 191 -9170 693637
  846 191 -9170 693137
  847 191 -9170 692637
  848 191 -9170 692137
  849 191 -9170 691637
  850 191 -9170 691137
  851 191 -9170 690637
  852 191 -9170 690137
  853 191 -9170 689637
  854 191 -9170 689137
  855 191 -9170 688637
  856 191 -9170 688137
  857 191 -9170 687637
  858 191 -9170 687137
  859 191 -9170 686637
  860 191 -9170 686137
  861 191 -9170 685637
  862 191 -9170 685137
  863 191 -9170 684637
