183 Klaverbank 17612 701776
184 Klaverbank 17625 697887
185 Klaverbank 17586 692888
186 Klaverbank 17538 687890
187 Klaverbank 17481 682893
188 Klaverbank 17424 677894
189 Klaverbank 17369 672897
190 Klaverbank 17309 667900
191 Klaverbank 17245 662902
192 Klaverbank 17180 657902
193 Klaverbank 17257 654361
194 Voordelta 19208 410811
195 Voordelta 18195 407429
196 Voordelta 17677 402887
197 Voordelta 17675 397888
198 Vlakte van de Raan 17107 392827
199 Voordelta 17677 395108
200 Westerschelde & Saeftinghe 19331 392307
201 Vlakte van de Raan 16397 388266
202 Westerschelde & Saeftinghe 18544 387630
203 Vlakte van de Raan 15584 383578
204 Westerschelde & Saeftinghe 17869 382823
205 Westerschelde & Saeftinghe 17475 379724
206 Zwin & Kievittepolder 15028 377977
207 Doggersbank 22365 834942
208 Doggersbank 22007 830387
209 Doggersbank 22007 825387
210 Doggersbank 22007 820387
211 Doggersbank 22007 815387
212 Doggersbank 22007 810387
213 Doggersbank 22007 805387
214 Doggersbank 22007 800387
215 Doggersbank 22007 795387
216 Doggersbank 22007 790387
217 Doggersbank 22007 785387
218 Doggersbank 22007 780387
219 Doggersbank 22007 775387
220 Doggersbank 22007 770387
221 Doggersbank 22007 765387
222 Doggersbank 22007 760387
223 Doggersbank 21473 755873
224 Doggersbank 20530 752740
225 Klaverbank 19809 700455
226 Klaverbank 19696 695445
227 Klaverbank 19583 690434
228 Klaverbank 19470 685422
229 Klaverbank 19357 680408
230 Klaverbank 19271 675398
231 Klaverbank 19186 670392
232 Voordelta 23263 414250
233 Voordelta 22028 410359
234 Voordelta 22007 405387
235 Manteling van Walcheren 24197 399263
236 Voordelta 21932 400503
237 Vlakte van de Raan 19436 394843
238 Voordelta 20554 397117
239 Westerschelde & Saeftinghe 20291 393622
240 Westerschelde & Saeftinghe 21713 390085
241 Westerschelde & Saeftinghe 22007 385387
242 Westerschelde & Saeftinghe 21503 381457
243 Groote Gat 23239 372035
244 Doggersbank 27713 840657
245 Doggersbank 26530 837631
246 Doggersbank 26337 832887
247 Doggersbank 26337 827887
248 Doggersbank 26337 822887
249 Doggersbank 26337 817887
250 Doggersbank 26337 812887
251 Doggersbank 26337 807887
252 Doggersbank 26337 802887
253 Doggersbank 26337 797887
254 Doggersbank 26337 792887
255 Doggersbank 26337 787887
256 Doggersbank 26337 782887
257 Doggersbank 26337 777887
258 Doggersbank 26337 772887
259 Doggersbank 26337 767887
260 Doggersbank 26335 762890
261 Doggersbank 25205 758919
262 Voordelta 26979 417269
263 Voordelta 26337 412887
264 Voordelta 26337 407887
265 Manteling van Walcheren 27504 400902
266 Voordelta 26268 403006
267 Manteling van Walcheren 25702 399767
268 Voordelta 25090 400050
269 Westerschelde & Saeftinghe 25331 386908
270 Westerschelde & Saeftinghe 26403 383195
271 Groote Gat 24359 372144
272 Doggersbank 31961 843490
273 Doggersbank 30742 840276
274 Doggersbank 30667 835387
275 Doggersbank 30667 830387
276 Doggersbank 30667 825387
277 Doggersbank 30667 820387
278 Doggersbank 30667 815387
279 Doggersbank 30667 810387
280 Doggersbank 30667 805387
281 Doggersbank 30667 800387
282 Doggersbank 30667 795387
283 Doggersbank 30667 790387
284 Doggersbank 30667 785387
285 Doggersbank 30667 780387
