WKT,fid
191334.192639517 312078.68126298,329
187612.199892889 317303.719304785,330
185548.116049573 321462.179184326,331
185571.387914877 319344.513342928,332
184251.72168738 321068.183879191,333
180716.203600174 320860.430178508,334
185973.854625171 317378.174630248,335
186012.896050323 319069.969720149,336
183018.908308268 319148.161531135,337
183610.500334597 319227.040467979,338
185275.722334634 317123.602152143,339
186818.1565124 317933.144943892,340
185815.052385583 317399.725774196,341
185993.307177175 318955.525675946,342
186289.359050891 319085.14959928,343
186218.906736649 317673.703020201,344
186223.099797807 319202.322003629,345
185968.017121998 319475.475857705,346
185736.513617467 318540.613825056,347
183573.726287189 319258.741600648,348
183012.741506786 319346.529989816,349
182876.61532552 319585.397261727,350
182856.91961905 319615.720411538,351
182855.196257723 319653.598205781,352
182402.568376654 319834.647831928,353
188578.432593084 350959.953961161,354
187720.827918051 350294.571023635,355
187905.656511808 350952.56081741,356
183626.773958346 344467.943777227,357
183234.945133629 341132.620366834,358
176382.677846275 320267.240091463,359
188522.879559681 350965.074866558,360
182187.836987775 337482.567841133,361
58641.9298304647 417987.324514645,362
58626.6984431244 418057.631266393,363
60154.5649003301 411005.133335008,364
23615.1729491284 372071.451031557,365
184997.497884534 373123.60224738,366
187832.1731043 582335.947597586,367
74879.7341538602 420719.249917749,368
75007.0055240763 420662.005344335,369
61045.1908378709 426941.800434387,370
94105.3670444755 412816.56579191,371
99479.1394 412886.8113,372
96949.9087684904 413440.53250017,373
97030.4945785838 413477.845826242,374
95955.8329662399 412959.83502899,375
95690.9723600361 412939.349164616,376
100410.652859027 414343.02727673,377
98093.3898070082 413824.59994566,378
93789.0913452001 413530.50515818,379
91189.8476682768 414524.777510502,380
213412.623285553 535523.543479787,381
213412.623285553 535523.543479787,382
165695.279369084 515571.987872055,383
154479.1394 552886.8113,384
134479.1394 547886.8113,385
139479.1394 532886.8113,386
169479.1394 532886.8113,387
139479.1394 527886.8113,388
159479.1394 507886.8113,389
152889.758962903 536651.998290986,390
152888.897956534 536649.464772994,391
156608.751038931 547595.161640782,392
155002.58815394 560069.590978137,393
153873.825277332 565041.794492537,394
156656.002479957 551768.00556983,395
155429.470820001 558222.064356865,396
153931.333718865 564964.472107694,397
121422.343176814 495951.424116091,398
121422.343176814 495951.424116091,399
118799.020467121 496140.010553197,400
123610.931267121 496089.653121009,401
125957.40640435 494887.94213181,402
123931.045449002 495728.97386252,403
120587.538339475 498117.989898723,404
138768.294613617 395786.731082304,405
144479.1394 397886.8113,406
142712.81962808 397005.997944806,407
147866.490671982 396156.396280561,408
145042.944106394 395963.851812082,409
141951.18018429 397179.606763949,410
146618.579835452 397832.631644956,411
139325.080757367 381892.73411029,412
142933.492217782 381734.122617525,413
144986.043170819 384654.35157659,414
143918.268569742 385630.909251948,415
150413.245364448 382723.077538947,416
135255.919513231 386287.050739543,417
139878.51018027 383759.594052658,418
144660.432604068 383347.275578525,419
138385.296148551 381374.362494134,420
150211.638695716 382679.401311344,421
141175.817854228 382181.544558844,422
144705.872060058 383783.023386122,423
144195.245739126 378091.955596463,424
139250.482126451 380856.476094352,425
138859.94514233 380677.426275578,426
135181.65338493 386279.30440414,427
101999.396957117 494166.790525542,428
94479.1394 482886.8113,429
98032.6945105941 486567.796443211,430
99221.307579407 496300.629893206,431
102469.387566247 495836.618466515,432
99631.7792260956 489126.299372822,433
100684.728232819 484093.560052553,434
91190.3405789773 475652.121405435,435
103513.467439927 494232.813134546,436
97964.5366449088 486614.63755927,437
101507.696276385 487937.902063127,438
101251.970197059 483354.513146696,439
101140.724679774 483842.358122771,440
180189.07849193 512226.719055039,441
154193.476189671 444307.487120952,442
157820.705198579 445071.369728205,443
156923.205344288 444293.699883141,444
156354.594643432 444062.660567635,445
154112.982260994 444392.396040861,446
39784.3254822273 414774.939016152,447
39705.622925526 414725.138967077,448
44221.1577551078 417459.865257639,449
44045.7596158536 417878.273442147,450
43520.9336357089 417488.864101328,451
43274.8381498755 417357.149526341,452
40379.0961503634 415030.859569723,453
40415.7731159502 414415.778915254,454
40040.8414643958 415526.494946569,455
242187.997021578 445030.329946329,456
195835.710926606 318689.154913385,457
195303.20145053 318485.128294199,458
195476.624076838 319393.046749577,459
194507.497635704 320123.462046263,460
195907.294006802 318561.821852757,461
204920.863511727 459430.722312695,462
203025.409446685 461159.061333102,463
206566.801443513 460450.782933736,464
205464.112501837 458706.487581387,465
202969.021125196 461099.127116892,466
262153.047788203 483349.317332842,467
262859.145935042 479658.34974709,468
263485.648185487 484170.649679127,469
261632.187810167 480729.81977445,470
261696.416635054 481573.970044397,471
263406.061002411 479169.585565823,472
262332.796908557 483148.491064608,473
262009.158700805 480300.15130133,474
128679.981591153 410835.928030008,475
130447.524107768 410701.174126753,476
126141.59315722 410701.174126753,477
129825.182525072 411474.89609443,478
130286.888560769 410665.792003749,479
129882.202517417 411462.015356446,480
128317.707903056 410888.696477981,481
126300.794104583 410725.905997735,482
209321.490185998 597432.259658718,483
207445.398772689 593160.14784514,484
215051.94073251 595066.321844618,485
212238.064828519 593377.996302223,486
207663.247229772 601565.467480932,487
209398.539211831 597345.476656822,488
205430.020393849 601815.357649855,489
224479.1394 577886.8113,490
226333.887787483 577782.2369561,491
228734.470589808 578292.817226455,492
225270.804462835 575943.195760205,493
223400.559789987 576841.183274605,494
226334.053277461 577783.08440673,495
225988.74196319 576014.794302366,496
156788.162917894 364715.687865902,497
159805.225463882 369433.276574175,498
167051.484363387 369547.754203786,499
152953.225704791 368245.888731849,500
157503.413341425 376498.082953471,501
157199.816679754 377985.706595659,502
157554.012785037 378861.076970144,503
156526.844079717 378719.398528031,504
155631.233927787 376832.039281309,505
154808.472639061 376068.661286852,506
153727.777954706 375480.068646266,507
152801.46822526 374814.283528226,508
152132.466753993 374299.667011867,509
157235.96311842 375874.047804761,510
157357.750773866 375508.684838423,511
157305.556064389 374196.857806905,512
157458.660545521 373674.910712136,513
157827.503159157 375731.382265524,514
157396.026894149 372286.531440052,515
158878.356643291 372314.36861844,516
156947.152392648 371837.656938551,517
156564.391189817 371521.009034392,518
155962.412207184 371180.003599143,519
154038.167251138 369875.135862222,520
153081.264244062 369151.369224143,521
159034.940771722 371708.909988508,522
159219.36207854 370522.350259735,523
161522.932048597 370576.08142183,524
166961.283663667 369584.890159033,525
162914.738603936 375330.206681077,526
163996.988632036 370719.954699139,527
165318.221570642 367431.044157292,528
164879.376109407 374096.009599792,529
162247.463642282 369616.566608571,530
162200.391069403 372708.422189931,531
256415.346347025 485085.841174775,532
142831.399706178 491155.255169754,533
193910.547763151 362339.627154533,534
191704.196385095 361519.686081648,535
195542.312019139 362962.660501608,536
271248.847101155 558748.677687292,537
128176.316530884 429281.583945167,538
130245.720146934 430035.255632494,539
132532.283401706 430482.349006332,540
135163.747259153 431299.891175636,541
137003.217140087 431350.987561218,542
136441.15689869 434608.382142038,543
137859.081598577 436588.367083321,544
138331.723165206 437955.195397626,545
138265.663793917 438007.445635921,546
137217.482022627 435465.165533626,547
137728.554280848 437197.254741076,548
136948.187685196 431309.36539392,549
136314.191351245 434798.781418531,550
136568.415775718 433096.787413456,551
136521.298874583 432734.172368651,552
136450.643623215 432483.00744396,553
133844.735353374 430952.693317851,554
135658.736155455 433167.775714265,555
136191.710946217 433326.374413642,556
135903.951828528 433376.549634516,557
134314.381859209 432457.166495303,558
133833.207065391 432077.196594761,559
132467.609093587 430898.421711254,560
130032.546120378 430150.754443557,561
128576.656663475 430146.839401827,562
128230.836800721 430079.958243583,563
128215.72060787 428906.395867675,564
128238.647413923 429177.340811033,565
127981.124942252 429327.165940045,566
125549.012503489 417988.696710474,567
130586.03570645 419403.350035561,568
130466.718409666 424410.367820901,569
132460.60804575 425303.405714245,570
132629.105761475 424045.289436829,571
131082.392705775 425065.892106284,572
132548.973092599 424249.813773905,573
132457.533146568 423298.677012401,574
130415.285193333 419475.683006239,575
125485.718268197 417989.74701168,576
255179.373009782 477527.673262501,577
140734.28807344 401767.982573537,578
137697.23278838 403499.409727059,579
134479.1394 407886.8113,580
137366.760676269 406393.425017828,581
132920.070395778 405285.120353017,582
132432.289155286 407168.965143882,583
140085.408618175 408665.948950908,584
135039.395785501 409120.090105849,585
137244.037973275 406555.86429739,586
140694.074453003 401989.297341522,587
211175.531657136 385098.500494932,588
200651.401727124 406150.66315692,589
209479.1394 392886.8113,590
204329.899992829 399635.926083973,591
198239.235499363 407969.729922617,592
204329.899992829 399635.926083973,593
28735.0516557249 400884.35714956,594
32981.7430406377 400275.453206522,595
28602.3787785714 400909.596359979,596
31856.7051377442 401212.851942333,597
31644.5726166277 401300.555764149,598
25000.1851015291 399067.498324352,599
237105.020570825 536712.488493072,600
236348.166348164 532983.100264348,601
236348.166348164 532983.100264348,602
143824.477194997 505286.820775622,603
144479.1394 517886.8113,604
149479.1394 497886.8113,605
134479.1394 487886.8113,606
134192.652434523 491807.643933264,607
135575.737522561 483403.476112703,608
133548.912284632 495719.261735607,609
76678.1908332415 386336.492572542,610
84328.9598093658 462897.546229644,611
81460.4394972464 458848.42458553,612
87394.1838348028 467170.59431682,613
206498.341445252 352984.821029258,614
202070.900479471 354849.40458638,615
208475.982233571 354960.109703117,616
205716.261823471 350729.592742077,617
209780.721109406 352421.799526493,618
206151.174782083 354461.936677799,619
208823.91260046 356090.883395508,620
206498.341445252 352984.821029258,621
138182.890782751 476897.568181651,622
136395.160809416 478337.777190148,623
115088.877284687 461720.415851978,624
115043.201039391 461664.39960521,625
117341.937100271 464483.514127574,626
183143.78709333 309467.144991604,627
184223.821759074 308788.983689858,628
184213.477426167 308774.170226201,629
183100.450687662 309519.719478855,630
104479.1394 517886.8113,631
103916.171142331 510967.467120505,632
103861.421846322 506633.807433759,633
101987.529546222 503207.261513576,634
103772.18887965 501529.681740153,635
100613.341859481 500441.039546761,636
105120.262342937 518855.223360538,637
108012.905850012 519891.07551343,638
103351.028989672 507419.933225594,639
104093.235137329 519799.523801156,640
102307.272602864 507889.902045202,641
102249.92455078 507952.750635569,642
144479.1394 602886.8113,643
134479.1394 597886.8113,644
104479.1394 567886.8113,645
104479.1394 552886.8113,646
109479.1394 552886.8113,647
207926.69758624 619129.204739094,648
194831.14808327 616396.538159262,649
226394.360796127 563876.236285224,650
193271.774506051 413648.284081326,651
204223.281374097 515961.970512779,652
204223.281374097 515961.970512779,653
46706.8422566003 406036.125061779,654
69479.1394 402886.8113,655
56919.8849108461 399617.510983137,656
56990.715134533 399299.240076869,657
71544.6798308756 402835.344790927,658
70945.9885465049 392794.463993502,659
70750.5539707056 393180.306114881,660
70345.1632355554 402108.537647773,661
68438.7337816941 405596.608675876,662
68432.0728573099 407440.708033037,663
67935.0125370603 405282.751052481,664
66637.3926929983 394039.814887301,665
63947.411815967 395187.878455819,666
63780.6852891463 394483.255876421,667
63763.1018570133 394524.854541495,668
63285.5981365539 394857.853931844,669
63023.2340370251 395507.976324178,670
61933.3116152561 406564.123598826,671
61118.3251600227 398084.960317016,672
60899.7795930205 397393.510297249,673
60079.2332139962 392452.992717014,674
59562.0213539551 404418.238485904,675
59424.0526615152 401560.441979869,676
59322.5109703441 404323.727314851,677
58215.6004836033 404704.225359608,678
57355.4986941787 404325.276470539,679
57257.1831713158 403973.244799123,680
56746.1882326497 405135.174130589,681
54449.0674955875 392843.377492382,682
53698.3724454568 395748.700162018,683
52401.3503536476 405924.573231126,684
51794.0222246036 407446.559764692,685
51365.8397224881 408663.107723691,686
51611.8248836936 406581.269698985,687
51535.0947678989 406226.408064061,688
51366.8723759435 407532.795760694,689
51267.5115419559 397795.975686144,690
50784.1790361059 408996.703414594,691
50480.6686650789 410362.631532589,692
50016.5649785349 410901.497107921,693
49788.1168152696 411367.614915503,694
49524.4454555372 410996.110734658,695
48742.2611190431 411580.795527887,696
47786.074277104 411516.200808519,697
47650.8342165778 413250.409268036,698
47766.0307053963 412183.382762757,699
46933.1754981136 402691.325956606,700
45653.8017406655 402785.677795066,701
45955.5538667429 402882.434651708,702
45290.3172601851 413530.82264064,703
44824.6441037737 402645.694975222,704
44093.3884824744 402515.852528568,705
44310.9382957139 412228.376916415,706
43429.4240943157 411870.996245687,707
43399.6323877762 401461.368384102,708
43045.329476603 402103.03005533,709
42601.5657178408 402232.299470887,710
42287.3286272896 411178.952594871,711
41727.7731641204 402032.525347822,712
41660.4168925061 401834.915994142,713
41657.480897032 410707.415276059,714
41392.8547791218 401927.613737097,715
40684.0723857045 401762.199942811,716
40236.4652214737 410410.312791733,717
39443.7646166984 410188.451031637,718
38411.6325206379 402070.062272673,719
152548.285448188 495424.727418746,720
90565.3240230086 427996.089573603,721
96689.5633373114 426945.641737967,722
93336.6888831554 427414.956955,723
94012.5972104366 428033.485811946,724
92921.9136495992 428120.400200683,725
91214.9159662745 427176.597543755,726
89686.7563706245 428276.21788499,727
90119.2240993032 427346.011006538,728
90442.9548326643 427079.263615837,729
90272.1778507505 427084.124299323,730
88801.3038484412 427937.397260878,731
88211.1615516994 427300.878846975,732
86215.2402227264 428481.973522048,733
83464.0364389473 430056.071254555,734
82638.6349429118 431525.479235205,735
170932.088031784 552273.767630942,736
170932.088031784 552273.767630942,737
163392.851130599 556365.246486992,738
164121.361069186 554715.385743722,739
165449.820368962 557800.839601266,740
164528.469564279 557715.132549667,741
165364.113317363 550215.765534804,742
161892.977727627 547987.382193244,743
159321.766179673 544837.648047002,744
163542.838470897 553151.23205205,745
162670.35991796 548258.434031153,746
163836.014047986 555018.869246644,747
95160.4468167981 419736.604624297,748
113743.434399773 497313.916305027,749
113766.281146852 500137.647460078,750
114149.064533703 499518.911067646,751
114139.782830863 495983.593725223,752
112862.971089623 495922.171164264,753
112470.729366358 498325.694598859,754
130143.122694417 506086.497988772,755
130143.122694417 506086.497988772,756
129914.190478929 390524.0115855,757
197163.195202522 354596.59753829,758
197933.478831095 352165.389835606,759
201014.613345387 346604.904891845,760
200355.600621355 351119.743009073,761
199627.480402907 347574.496915057,762
203328.194305276 350523.997525278,763
203968.702480686 349306.241241166,764
204371.985405944 350523.997525278,765
201904.842804365 350919.372942198,766
199920.058211428 350935.187958875,767
197381.748034804 350927.280450536,768
201311.779678985 351654.771217669,769
203470.529455367 351797.10636776,770
204142.667664131 351488.713542562,771
197018.002651237 351805.013876098,772
203983.63359351 349418.186621014,773
200163.29876478 347167.339444944,774
196521.506190799 355739.414854001,775
189459.044255314 539652.019339684,776
189832.979651004 538988.705218785,777
187718.652105718 542659.095727295,778
188530.926701636 542316.055380755,779
224701.025926257 483845.804179926,780
224999.453084659 480511.159738693,781
183434.361812741 364405.022334944,782
184260.635535991 363997.675385968,783
183370.824241991 364536.396937714,784
182677.207367553 363509.991855904,785
180431.141886346 315495.245451569,786
182478.184334209 314653.823095699,787
180456.258971596 313925.427623453,788
180117.178320723 311740.241206716,789
182113.986598086 311275.575129594,790
180792.769424009 312938.636336261,791
180915.469992432 312127.936152033,792
179776.107571355 310681.822309896,793
179951.394097674 313249.769920478,794
182782.271497737 311308.471641488,795
180757.712118745 311128.802952011,796
180620.871470079 315695.446281516,797
180520.872576335 315625.487831674,798
180301.824861429 315744.877197711,799
106007.988316946 523662.861833308,800
192515.564032169 417197.966694412,801
176044.318828295 315673.365731964,802
176148.678851247 313912.869080828,803
174725.154431266 314307.514060594,804
174429.365093893 314985.391749675,805
176018.127145233 316150.610260218,806
175907.503823185 316245.614016524,807
175814.240517557 316232.107622386,808
174531.283600905 315579.295627902,809
174575.826356546 314188.147383586,810
174361.287696911 314932.523309348,811
174381.187833807 314321.012591572,812
173934.58037955 314600.197940335,813
182964.865639153 560829.517155079,814
179279.122968877 560138.440404402,815
182800.323555659 556814.690317814,816
183034.700576743 559940.056247731,817
179151.516689989 559632.6654421,818
253342.868637864 497054.040455591,819
256969.645482994 495593.701106446,820
254129.205210481 493090.262222196,821
254385.968172968 494983.889070539,822
258654.652424316 494149.409442456,823
255846.307522113 494390.124719787,824
252155.339936361 496059.083975954,825
253197.060870151 493345.832239152,826
229427.520001559 459240.385047095,827
170640.721350309 379515.999554777,828
173413.102578322 377881.124388863,829
170222.488599424 379762.631703012,830
172089.234365677 378464.378939124,831
199360.79534815 362334.426740537,832
202384.170323305 360439.909304807,833
199347.476559604 361697.195392532,834
128706.305112009 443498.332945577,835
127551.894892338 442347.040590559,836
124186.382836313 441475.131204399,837
200136.17862052 516391.916545307,838
207327.891903345 504320.720193056,839
208418.545557054 503914.346805952,840
207085.864367361 504410.89872887,841
204479.1394 507886.8113,842
201765.071155776 505943.359844689,843
114968.454936608 396239.364347579,844
199046.259857086 562397.62515432,845
199353.375681876 562401.446462451,846
197911.472294995 562926.261489577,847
199855.54866015 560640.616568722,848
199876.846879136 561399.742422384,849
197263.20338363 562492.095602909,850
234479.1394 502886.8113,851
224479.1394 497886.8113,852
228265.518094041 501374.833857938,853
224803.832743485 499577.402429462,854
223231.259163599 497034.517491774,855
228852.373236383 505834.237736668,856
232499.405581225 505131.59847757,857
226510.242372723 503659.401934698,858
229326.006741436 502144.05194807,859
226545.940134333 503033.954621923,860
226390.280283746 502918.127239901,861
226211.099087964 503089.648616633,862
224083.273992635 498299.80263357,863
187433.787861235 505285.133540708,864
181316.726662547 492349.032743827,865
167326.572333444 484861.026877619,866
173704.022223446 488051.510575188,867
176804.230737147 490243.920146839,868
166925.759696823 482363.852036426,869
